Channels,Training,SSIM
KI67,synthetic,0.8418125244388833
KI67,synthetic,0.8437299718660007
KI67,synthetic,0.8246324188752615
KI67,synthetic,0.8241504260041728
KI67,synthetic,0.8394057803297112
KI67,synthetic,0.8428732895354721
KI67,synthetic,0.8235735810066487
KI67,synthetic,0.8344052384638693
KI67,synthetic,0.8387369450881037
KI67,synthetic,0.817346382307332
KI67,synthetic,0.8240592574325843
KI67,synthetic,0.8391642525913126
KI67,synthetic,0.8323266216762661
KI67,synthetic,0.8270629059030631
KI67,synthetic,0.8413679369603907
KI67,synthetic,0.8340872179549622
KI67,synthetic,0.8374402426689057
KI67,synthetic,0.8154624348166415
KI67,synthetic,0.8334763842441849
KI67,synthetic,0.8314990869949122
KI67,synthetic,0.8219826795976198
KI67,synthetic,0.823839293886846
KI67,synthetic,0.8119870630889753
KI67,synthetic,0.8340262507825372
KI67,synthetic,0.8243372568509263
KI67,synthetic,0.8506413249627452
KI67,synthetic,0.8576709438185426
KI67,synthetic,0.8368787948165509
CDH1,real,0.7560475601109399
CDH1,real,0.7292659664874902
CDH1,real,0.7578805938052245
CDH1,real,0.7580365419591865
CDH1,real,0.7596897741964045
CDH1,real,0.7565191095925332
CDH1,real,0.7362926915758469
CDH1,real,0.7692308503743023
CDH1,real,0.7441650487170497
CDH1,real,0.724207292535244
CDH1,real,0.7454865214635632
CDH1,real,0.7577599759568546
CDH1,real,0.7478711596032825
CDH1,real,0.7337012518222835
CDH1,real,0.7522603699224727
CDH1,real,0.7495295077819494
CDH1,real,0.7657527293531418
CDH1,real,0.7353882942528577
CDH1,real,0.7297212886628309
CDH1,real,0.756537007987566
CDH1,real,0.7494876722448186
CDH1,real,0.7544195410387338
CDH1,real,0.7591109923810725
CDH1,real,0.7536952398259764
CDH1,real,0.7612358991123237
CDH1,real,0.7611095560552673
CDH1,real,0.7699292562950232
CDH1,real,0.7600684953275362
CDH1,real,0.7594724898598497
CDH1,real,0.7323366160171139
CDH1,real,0.7667341294969026
CDH1,real,0.7385692008920316
CDH1,real,0.7587827696451405
CDH1,real,0.7676287978066451
CDH1,real,0.7507053121054296
CDH1,real,0.7567770817348736
CDH1,real,0.7606067557982078
CDH1,real,0.7448493542400989
CDH1,real,0.7506945259582016
CDH1,real,0.7549666091638092
CDH1,real,0.7525297604047575
CDH1,real,0.762436036030039
CDH1,real,0.7647225819797715
CDH1,real,0.7592071038424887
CDH1,real,0.7580799405946114
CDH1,real,0.7627664160428781
CDH1,real,0.761277226045765
CDH1,real,0.7579381548133807
CDH1,real,0.751038474466203
CDH1,real,0.748338689604288
CDH1,synthetic,0.7580236502429231
CDH1,synthetic,0.7289925870951341
CDH1,synthetic,0.7524083677450916
CDH1,synthetic,0.7594044219388613
CDH1,synthetic,0.7460179631765896
CDH1,synthetic,0.7450863752326194
CDH1,synthetic,0.7386564736083656
CDH1,synthetic,0.7661594452506245
CDH1,synthetic,0.7391703810347835
CDH1,synthetic,0.7254294843016318
CDH1,synthetic,0.7340806585355383
CDH1,synthetic,0.7562913667446928
CDH1,synthetic,0.7386847668074389
CDH1,synthetic,0.7253968540003154
CDH1,synthetic,0.741989603953157
CDH1,synthetic,0.7444969469235708
CDH1,synthetic,0.7559986521393821
CDH1,synthetic,0.7308045526126525
CDH1,synthetic,0.7255216676531693
CDH1,synthetic,0.7585698301779628
CDH1,synthetic,0.7445475481129229
CDH1,synthetic,0.7411085131932796
CDH1,synthetic,0.7606209524109676
CDH1,synthetic,0.7402756549219642
CDH1,synthetic,0.7503843769639431
CDH1,synthetic,0.7550862898708478
CDH1,synthetic,0.7651803520663177
CDH1,synthetic,0.7598785433173053
CDH1,synthetic,0.7518116305118908
